%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=214003, 2025/05/27 16:46:21.03)
1 21 9.593541e-01 1.011674e+03 -1.848000000000000000e+03 -1.848000000000000000e+03 -7.860000000000000000e+02  0.000000000000000000e+00
2 41 9.067916e-01 1.013245e+03 -1.982000000000000000e+03 -1.982000000000000000e+03 -1.590000000000000000e+03  0.000000000000000000e+00
3 61 8.388305e-01 1.024839e+03 -1.982000000000000000e+03 -1.800000000000000000e+03 -1.506000000000000000e+03  0.000000000000000000e+00
4 81 7.832205e-01 1.025621e+03 -2.100000000000000000e+03 -2.100000000000000000e+03 -1.445000000000000000e+03  0.000000000000000000e+00
5 101 7.397625e-01 1.018337e+03 -2.100000000000000000e+03 -2.094000000000000000e+03 -1.800000000000000000e+03  0.000000000000000000e+00
6 121 7.209489e-01 1.021870e+03 -2.200000000000000000e+03 -2.200000000000000000e+03 -1.800000000000000000e+03 -7.380000000000000000e+02
7 141 7.229863e-01 1.020913e+03 -2.200000000000000000e+03 -1.980000000000000000e+03 -1.800000000000000000e+03  0.000000000000000000e+00
8 161 7.430285e-01 1.019543e+03 -2.200000000000000000e+03 -1.974000000000000000e+03 -1.800000000000000000e+03 -7.140000000000000000e+02
9 181 7.679014e-01 1.016866e+03 -2.200000000000000000e+03 -2.052000000000000000e+03 -1.842000000000000000e+03  0.000000000000000000e+00
10 201 7.885267e-01 1.016007e+03 -2.200000000000000000e+03 -1.986000000000000000e+03 -1.861000000000000000e+03 -6.000000000000000000e+00
11 221 7.946985e-01 1.013984e+03 -2.200000000000000000e+03 -2.000000000000000000e+03 -1.543000000000000000e+03  0.000000000000000000e+00
12 241 7.848714e-01 1.010065e+03 -2.200000000000000000e+03 -2.000000000000000000e+03 -1.548000000000000000e+03  0.000000000000000000e+00
13 261 7.569113e-01 1.004149e+03 -2.200000000000000000e+03 -2.100000000000000000e+03 -1.861000000000000000e+03  0.000000000000000000e+00
14 281 7.505217e-01 1.002063e+03 -2.294000000000000000e+03 -2.294000000000000000e+03 -1.779000000000000000e+03 -6.480000000000000000e+02
15 301 7.770714e-01 9.900556e+02 -2.294000000000000000e+03 -2.000000000000000000e+03 -1.800000000000000000e+03 -5.140000000000000000e+02
16 321 7.888830e-01 9.808518e+02 -2.294000000000000000e+03 -2.100000000000000000e+03 -1.888000000000000000e+03  0.000000000000000000e+00
17 341 7.732495e-01 9.775067e+02 -2.294000000000000000e+03 -2.200000000000000000e+03 -1.800000000000000000e+03  0.000000000000000000e+00
18 361 7.412192e-01 9.739038e+02 -2.294000000000000000e+03 -2.200000000000000000e+03 -1.858000000000000000e+03 -7.020000000000000000e+02
19 381 7.308705e-01 9.724004e+02 -2.294000000000000000e+03 -2.200000000000000000e+03 -1.900000000000000000e+03  0.000000000000000000e+00
20 401 7.112530e-01 9.738876e+02 -2.294000000000000000e+03 -2.100000000000000000e+03 -1.800000000000000000e+03  0.000000000000000000e+00
21 421 7.025198e-01 9.723750e+02 -2.294000000000000000e+03 -2.200000000000000000e+03 -1.850000000000000000e+03 -4.940000000000000000e+02
22 441 7.038409e-01 9.680082e+02 -2.294000000000000000e+03 -2.000000000000000000e+03 -1.800000000000000000e+03 -6.780000000000000000e+02
23 461 6.844541e-01 9.700782e+02 -2.294000000000000000e+03 -2.000000000000000000e+03 -1.797000000000000000e+03 -7.440000000000000000e+02
24 481 6.636607e-01 9.690849e+02 -2.294000000000000000e+03 -2.100000000000000000e+03 -1.900000000000000000e+03 -1.290000000000000000e+03
25 501 6.396564e-01 9.617528e+02 -2.294000000000000000e+03 -2.200000000000000000e+03 -1.919000000000000000e+03 -9.420000000000000000e+02
26 521 6.229893e-01 9.556218e+02 -2.294000000000000000e+03 -2.070000000000000000e+03 -1.855000000000000000e+03 -1.314000000000000000e+03
27 541 6.058141e-01 9.541610e+02 -2.294000000000000000e+03 -2.088000000000000000e+03 -1.894000000000000000e+03 -7.560000000000000000e+02
28 561 5.889488e-01 9.521119e+02 -2.294000000000000000e+03 -2.100000000000000000e+03 -1.872000000000000000e+03 -1.240000000000000000e+03
29 581 5.805045e-01 9.493347e+02 -2.294000000000000000e+03 -2.216000000000000000e+03 -1.902000000000000000e+03 -6.900000000000000000e+02
30 601 5.762726e-01 9.459553e+02 -2.294000000000000000e+03 -2.288000000000000000e+03 -1.844000000000000000e+03 -1.434000000000000000e+03
31 621 5.919528e-01 9.428022e+02 -2.294000000000000000e+03 -2.100000000000000000e+03 -1.952000000000000000e+03 -7.920000000000000000e+02
32 641 6.218970e-01 9.424361e+02 -2.310000000000000000e+03 -2.310000000000000000e+03 -1.887000000000000000e+03 -1.158000000000000000e+03
33 661 6.101906e-01 9.434531e+02 -2.376000000000000000e+03 -2.376000000000000000e+03 -1.874000000000000000e+03 -9.200000000000000000e+02
34 681 5.906340e-01 9.443610e+02 -2.376000000000000000e+03 -2.188000000000000000e+03 -1.926000000000000000e+03 -7.500000000000000000e+02
35 701 5.836084e-01 9.437669e+02 -2.376000000000000000e+03 -2.200000000000000000e+03 -1.872000000000000000e+03 -7.620000000000000000e+02
36 721 5.792288e-01 9.446213e+02 -2.376000000000000000e+03 -2.270000000000000000e+03 -1.800000000000000000e+03 -6.720000000000000000e+02
37 741 5.658402e-01 9.400314e+02 -2.400000000000000000e+03 -2.400000000000000000e+03 -1.894000000000000000e+03 -6.720000000000000000e+02
38 761 5.557829e-01 9.376740e+02 -2.400000000000000000e+03 -2.394000000000000000e+03 -1.900000000000000000e+03 -1.060000000000000000e+03
