%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214003, 2025/05/27 16:46:21.03)
0 1 0 0 0 4.000000e-03 2.000000e-02 5.000000e-02 3.000000e-01 1.000000e-02 5.000000e-02 3.000000e-02 2.000000e-01 1.500000e-01 2.000000e-01 1.000000e-01 5.000000e-02 8.000000e-01 4.000000e-02 2.000000e-01 8.000000e-01 4.000000e-02 2.000000e-01 3.000000e+00 3.000000e-01 2.000000e-03 1.500000e+00 3.000000e-03 
1 21 0 0 0 2.809958e-03 1.780380e-02 5.580285e-02 2.462859e-01 1.217626e-02 6.490542e-02 2.638615e-02 1.928445e-01 1.596235e-01 1.536585e-01 9.384255e-02 5.040865e-02 8.645371e-01 4.450479e-02 1.987199e-01 1.042620e+00 3.633417e-02 2.012638e-01 1.917436e+00 4.881119e-01 1.521130e-03 1.303063e+00 3.444497e-03 
2 41 0 0 0 2.780615e-03 2.227205e-02 4.535209e-02 2.150565e-01 1.022516e-02 7.094870e-02 2.544566e-02 1.430975e-01 1.626122e-01 1.472079e-01 1.098896e-01 6.180374e-02 8.211577e-01 4.180360e-02 1.839142e-01 8.510353e-01 3.411710e-02 1.679701e-01 2.376256e+00 4.355466e-01 1.534789e-03 1.316039e+00 3.535313e-03 
3 61 0 0 0 4.551608e-03 2.579714e-02 4.673514e-02 2.462073e-01 9.746972e-03 6.590173e-02 3.397533e-02 1.844645e-01 1.472115e-01 1.553179e-01 1.112738e-01 5.681235e-02 7.706624e-01 4.794935e-02 2.076052e-01 7.869828e-01 3.445511e-02 2.041756e-01 1.795221e+00 3.062703e-01 1.793915e-03 1.216610e+00 2.993231e-03 
4 81 0 0 0 4.910331e-03 2.520765e-02 5.648102e-02 2.997432e-01 8.606238e-03 5.805513e-02 3.362819e-02 1.717843e-01 1.345637e-01 1.700097e-01 9.551356e-02 5.987963e-02 6.940335e-01 4.364811e-02 2.139094e-01 7.607006e-01 3.274440e-02 1.890998e-01 1.583026e+00 3.071000e-01 1.411891e-03 1.358731e+00 2.250592e-03 
5 101 0 0 0 5.053250e-03 2.733733e-02 4.939468e-02 2.532475e-01 9.907990e-03 5.869523e-02 2.873323e-02 1.601092e-01 1.119350e-01 1.166470e-01 9.467014e-02 5.870344e-02 9.609755e-01 4.603738e-02 1.891751e-01 8.311418e-01 2.971842e-02 2.074538e-01 1.828081e+00 3.521247e-01 1.691786e-03 1.255115e+00 2.034419e-03 
6 121 0 0 0 5.771781e-03 2.970646e-02 5.976614e-02 2.703493e-01 8.829497e-03 5.884468e-02 2.381230e-02 1.535113e-01 1.170901e-01 1.283635e-01 8.030276e-02 6.265119e-02 9.350960e-01 3.969362e-02 1.889233e-01 9.649325e-01 3.563461e-02 2.161480e-01 1.584767e+00 3.180138e-01 1.967745e-03 1.145244e+00 1.848055e-03 
7 141 0 0 0 6.310178e-03 2.641274e-02 5.730359e-02 2.639042e-01 6.600864e-03 5.653287e-02 2.156115e-02 1.351024e-01 1.094323e-01 1.205291e-01 7.985559e-02 5.790260e-02 9.039113e-01 3.325115e-02 2.099232e-01 1.123011e+00 3.563356e-02 2.223952e-01 1.301538e+00 2.783123e-01 2.210267e-03 1.145044e+00 1.313744e-03 
8 161 0 0 0 5.638434e-03 3.452898e-02 5.012889e-02 2.720770e-01 3.190083e-03 5.425121e-02 2.204834e-02 1.509831e-01 1.145239e-01 8.797168e-02 7.662152e-02 6.718220e-02 8.319406e-01 3.874551e-02 2.242751e-01 1.152478e+00 3.850749e-02 2.271679e-01 1.481003e+00 3.979691e-01 2.619464e-03 1.105930e+00 6.264998e-04 
9 181 0 0 0 5.463405e-03 3.453106e-02 5.977155e-02 2.418987e-01 2.260143e-03 5.301777e-02 2.418844e-02 1.112347e-01 1.013512e-01 6.122185e-02 5.650348e-02 7.101989e-02 7.293171e-01 4.090920e-02 2.450354e-01 1.116563e+00 3.795337e-02 2.447524e-01 1.441422e+00 3.676918e-01 2.607300e-03 1.092788e+00 4.346068e-04 
